total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
20,Z,2026094602,0.05662966516237983,8,2.5,0.5,5000,111,0.0222,0.01846812807323922,0.026665487905457377,0.1508,1.673,0.006548977085564955,0.020694096430707243,0.010000000000000009,0.9778,0.9733345120945426,0.9815318719267607
30,Z,2026094603,0.07825309155172167,8,3.75,1.75,5000,191,0.0382,0.033231777279803,0.04387727223665177,0.1984,1.946,0.009623428310728765,0.020694096430707243,0.010000000000000009,0.9618,0.9561227277633483,0.966768222720197
40,Z,2026094604,0.09882193099178893,8,5.0,3.0,5000,336,0.0672,0.06058725246047214,0.07447727034316931,0.255,2.2118,0.012678724138706354,0.020694096430707243,0.010000000000000009,0.9328,0.9255227296568307,0.9394127475395279
50,Z,2026094605,0.1183876162950116,8,6.25,4.25,5000,444,0.0888,0.08122784547465063,0.09700351260496436,0.2842,2.4698,0.015714983917379355,0.020694096430707243,0.010000000000000009,0.9112,0.9029964873950357,0.9187721545253493
65,Z,2026094606,0.1459615967153846,8,8.125,6.125,5000,611,0.1222,0.11341075757583895,0.13156931801384625,0.327,2.8074,0.020233940237626646,0.020694096430707243,0.010000000000000009,0.8778,0.8684306819861538,0.886589242424161
80,Z,2026094607,0.17154317744253672,8,10.0,8.0,5000,783,0.1566,0.14679065311810566,0.16693660457775958,0.3568,3.1786,0.024710729310186863,0.020694096430707243,0.010000000000000009,0.8434,0.8330633954222404,0.8532093468818943
100,Z,2026094608,0.20279997674080963,8,12.5,10.5,5000,983,0.1966,0.18581876729871474,0.20784707424154594,0.394,3.6582,0.03061486745381331,0.020694096430707243,0.010000000000000009,0.8034,0.7921529257584541,0.8141812327012853
125,Z,2026094609,0.23772190002569477,8,15.625,13.625,5000,1174,0.2348,0.22325737555559114,0.24674981355606726,0.439,4.2184,0.03789200942496779,0.020694096430707243,0.010000000000000009,0.7652,0.7532501864439327,0.7767426244444089
150,Z,2026094610,0.2685403891569028,8,18.75,16.75,5000,1443,0.2886,0.276206685642592,0.3013178987397783,0.458,4.737,0.04505632976715196,0.020694096430707243,0.010000000000000009,0.7114,0.6986821012602217,0.723793314357408
175,Z,2026094611,0.2957376103575309,8,21.875,19.875,5000,1583,0.3166,0.30385191663605143,0.32962967643739555,0.4834,5.242,0.0521095776175976,0.020694096430707243,0.010000000000000009,0.6834,0.6703703235626044,0.6961480833639486
200,Z,2026094612,0.31973907382599326,8,25.0,23.0,5000,1788,0.3576,0.3444288779368445,0.3709897635771078,0.4914,5.7148,0.05905347499567748,0.020694096430707243,0.010000000000000009,0.6424000000000001,0.6290102364228922,0.6555711220631555
40,Z,2026095604,0.09882193099178893,16,2.5,0.5,5000,230,0.046,0.04053378733537788,0.052163286030734,0.2296,3.435,0.006548977085564955,0.020694096430707243,0.010000000000000009,0.954,0.947836713969266,0.9594662126646221
50,Z,2026095605,0.1183876162950116,16,3.125,1.125,5000,300,0.06,0.05374897325570842,0.06692660445594185,0.2722,3.7258,0.008088604611211803,0.020694096430707243,0.010000000000000009,0.94,0.9330733955440581,0.9462510267442916
65,Z,2026095606,0.1459615967153846,16,4.0625,2.0625,5000,500,0.1,0.09198917998158557,0.10862498157446016,0.3164,4.114,0.010389043411431098,0.020694096430707243,0.010000000000000009,0.9,0.8913750184255398,0.9080108200184145
80,Z,2026095607,0.17154317744253672,16,5.0,3.0,5000,610,0.122,0.11321729915259313,0.13136308351787007,0.3598,4.4994,0.012678724138706354,0.020694096430707243,0.010000000000000009,0.878,0.8686369164821299,0.8867827008474068
100,Z,2026095608,0.20279997674080963,16,6.25,4.25,5000,793,0.1586,0.14873710073088064,0.16898708615720437,0.3944,4.9838,0.015714983917379355,0.020694096430707243,0.010000000000000009,0.8414,0.8310129138427956,0.8512628992691194
125,Z,2026095609,0.23772190002569477,16,7.8125,5.8125,5000,1025,0.205,0.19403864323635014,0.21641430091123356,0.4292,5.5878,0.019483719812173284,0.020694096430707243,0.010000000000000009,0.795,0.7835856990887664,0.8059613567636499
150,Z,2026095610,0.2685403891569028,16,9.375,7.375,5000,1240,0.248,0.2362263906947644,0.2601605310855445,0.4484,6.227,0.02322312717155306,0.020694096430707243,0.010000000000000009,0.752,0.7398394689144555,0.7637736093052356
175,Z,2026095611,0.2957376103575309,16,10.9375,8.9375,5000,1377,0.2754,0.26319388113263326,0.2879509705810864,0.4658,6.828,0.02693343423199207,0.020694096430707243,0.010000000000000009,0.7246,0.7120490294189137,0.7368061188673667
200,Z,2026095612,0.31973907382599326,16,12.5,10.5,5000,1562,0.3124,0.29970159470158564,0.32538644706819986,0.4694,7.4192,0.03061486745381331,0.020694096430707243,0.010000000000000009,0.6876,0.6746135529318001,0.7002984052984144
65,Z,2026096606,0.1459615967153846,32,2.03125,0.03125,5000,372,0.0744,0.0674483912005754,0.0820050766950572,0.3136,6.6814,0.0053910948874446585,0.020694096430707243,0.010000000000000009,0.9256,0.9179949233049428,0.9325516087994246
80,Z,2026096607,0.17154317744253672,32,2.5,0.5,5000,456,0.0912,0.0835308799658389,0.09949679314443981,0.3484,7.0674,0.006548977085564955,0.020694096430707243,0.010000000000000009,0.9088,0.9005032068555602,0.9164691200341611
100,Z,2026096608,0.20279997674080963,32,3.125,1.125,5000,591,0.1182,0.10954310667883399,0.12744311052641163,0.3942,7.625,0.008088604611211803,0.020694096430707243,0.010000000000000009,0.8818,0.8725568894735883,0.8904568933211661
125,Z,2026096609,0.23772190002569477,32,3.90625,1.90625,5000,849,0.1698,0.15964745670019553,0.18045953366432027,0.4248,8.259,0.010006385395271655,0.020694096430707243,0.010000000000000009,0.8302,0.8195404663356798,0.8403525432998045
150,Z,2026096610,0.2685403891569028,32,4.6875,2.6875,5000,1015,0.203,0.192080844035684,0.21437517091967997,0.4496,8.8596,0.011916689460617136,0.020694096430707243,0.010000000000000009,0.7969999999999999,0.78562482908032,0.807919155964316
175,Z,2026096611,0.2957376103575309,32,5.46875,3.46875,5000,1174,0.2348,0.22325737555559114,0.24674981355606726,0.461,9.4596,0.013819545956212098,0.020694096430707243,0.010000000000000009,0.7652,0.7532501864439327,0.7767426244444089
200,Z,2026096612,0.31973907382599326,32,6.25,4.25,5000,1327,0.2654,0.2533446711909176,0.2778155345617033,0.481,10.0668,0.015714983917379355,0.020694096430707243,0.010000000000000009,0.7345999999999999,0.7221844654382967,0.7466553288090825
150,Z,2026097610,0.2685403891569028,64,2.34375,0.34375,5000,747,0.1494,0.13978827921940884,0.15955003338446527,0.4556,13.891,0.006163317845387983,0.020694096430707243,0.010000000000000009,0.8506,0.8404499666155347,0.8602117207805912
175,Z,2026097611,0.2957376103575309,64,2.734375,0.734375,5000,898,0.1796,0.16920752000010725,0.1904844234062854,0.4576,14.5744,0.007126901309429723,0.020694096430707243,0.010000000000000009,0.8204,0.8095155765937145,0.8307924799998927
200,Z,2026097612,0.31973907382599326,64,3.125,1.125,5000,1031,0.2062,0.19521352491463279,0.21763757674828282,0.4624,15.234,0.008088604611211803,0.020694096430707243,0.010000000000000009,0.7938000000000001,0.7823624232517172,0.8047864750853673
